CampID,Day,Time
2348,2,2020-07-20 05:31:31pm
1996,2,2020-07-20 05:31:39pm
2132,2,2020-07-20 05:31:41pm
3683,2,2020-07-20 05:32:07pm
2317,1,2020-07-20 05:32:08pm
2062,2,2020-07-20 05:32:09pm
2317,1,2020-07-20 05:32:13pm
2983,1,2020-07-20 05:32:19pm
2317,1,2020-07-20 05:32:22pm
3194,1,2020-07-20 05:32:26pm
2983,2,2020-07-20 05:32:27pm
3194,2,2020-07-20 05:32:31pm
2317,2,2020-07-20 05:32:40pm
2317,2,2020-07-20 05:32:41pm
2983,2,2020-07-20 05:32:46pm
5119,2,2020-07-20 05:32:59pm
2590,1,2020-07-20 05:33:07pm
5104,1,2020-07-20 05:34:12pm
5104,1,2020-07-20 05:34:15pm
5008,2,2020-07-20 05:34:17pm
5104,1,2020-07-20 05:34:18pm
3664,2,2020-07-20 05:34:29pm
3664,10,2020-07-20 05:34:41pm
2414,2,2020-07-20 05:34:44pm
3664,1,2020-07-20 05:34:47pm
3664,1,2020-07-20 05:34:55pm
3345,2,2020-07-20 05:34:58pm
5008,1,2020-07-20 05:34:59pm
3599,1,2020-07-20 05:35:10pm
5008,2,2020-07-20 05:35:12pm
3599,1,2020-07-20 05:35:15pm
2022,1,2020-07-20 05:35:16pm
2022,1,2020-07-20 05:35:21pm
2517,2,2020-07-20 05:35:23pm
2022,2,2020-07-20 05:35:26pm
3599,2,2020-07-20 05:35:27pm
3227,2,2020-07-20 05:35:32pm
3508,2,2020-07-20 05:35:38pm
2484,2,2020-07-20 05:35:40pm
2022,1,2020-07-20 05:35:42pm
3508,1,2020-07-20 05:35:44pm
3508,2,2020-07-20 05:35:50pm
2164,1,2020-07-20 05:35:58pm
2164,2,2020-07-20 05:36:07pm
3227,2,2020-07-20 05:36:38pm
2164,10,2020-07-20 05:36:56pm
2558,2,2020-07-20 05:37:02pm
9029,1,2020-07-20 05:37:13pm
5025,2,2020-07-20 05:37:19pm
3227,3,2020-07-20 05:37:27pm
2558,3,2020-07-20 05:37:33pm
3690,2,2020-07-20 05:37:48pm
3690,2,2020-07-20 05:37:59pm
5091,1,2020-07-20 05:38:15pm
6000,2,2020-07-20 05:38:27pm
3101,2,2020-07-20 05:38:29pm
3023,2,2020-07-20 05:38:36pm
3690,2,2020-07-20 05:38:40pm
3690,2,2020-07-20 05:38:48pm
3546,2,2020-07-20 05:38:52pm
3690,2,2020-07-20 05:38:58pm
3546,2,2020-07-20 05:39:19pm
3546,2,2020-07-20 05:39:19pm
2558,2,2020-07-20 05:39:49pm
2558,2,2020-07-20 05:39:54pm
5080,1,2020-07-20 05:39:54pm
2558,1,2020-07-20 05:39:57pm
3644,1,2020-07-20 05:40:40pm
3644,2,2020-07-20 05:40:52pm
2210,2,2020-07-20 05:41:14pm
3216,2,2020-07-20 05:42:00pm
2558,2,2020-07-20 05:42:43pm
1949,1,2020-07-20 05:43:04pm
1949,2,2020-07-20 05:43:10pm
1949,2,2020-07-20 05:43:17pm
2377,2,2020-07-20 05:43:20pm
5008,2,2020-07-20 05:43:20pm
2514,2,2020-07-20 05:44:07pm
3241,2,2020-07-20 05:44:42pm
3452,2,2020-07-20 05:44:43pm
5019,2,2020-07-20 05:44:58pm
5015,2,2020-07-20 05:45:00pm
3033,2,2020-07-20 05:45:15pm
5090,2,2020-07-20 05:45:34pm
5112,2,2020-07-20 05:45:44pm
2634,2,2020-07-20 05:45:48pm
3216,1,2020-07-20 05:45:59pm
5090,2,2020-07-20 05:46:02pm
5090,2,2020-07-20 05:46:20pm
2468,2,2020-07-20 05:47:00pm
5095,1,2020-07-20 05:47:56pm
2894,1,2020-07-20 05:48:56pm
2894,2,2020-07-20 05:49:07pm
2193,2,2020-07-20 05:49:36pm
2193,2,2020-07-20 05:50:01pm
2377,2,2020-07-20 05:51:00pm
2355,1,2020-07-20 05:51:28pm
2355,2,2020-07-20 05:51:38pm
2355,3,2020-07-20 05:52:02pm
2215,1,2020-07-20 05:52:54pm
2355,3,2020-07-20 05:53:01pm
2215,2,2020-07-20 05:53:06pm
2590,1,2020-07-20 05:54:18pm
2653,2,2020-07-20 05:56:00pm
1965,1,2020-07-20 05:56:00pm
2492,2,2020-07-20 05:56:01pm
1965,2,2020-07-20 05:56:09pm
5015,2,2020-07-20 05:56:40pm
5008,2,2020-07-20 05:57:10pm
3610,2,2020-07-20 05:58:00pm
3547 ,2,2020-07-20 05:58:08pm
3338,2,2020-07-20 05:58:26pm
